,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien,flow
183,4Zi1GHwBASTB4nx96gGh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5969763520437303,0.1164220335399479,0.9693745956254828,127.0.0.1:1151 -> 127.0.0.1:8088
184,bZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6019734638238144,0.9414133067394966,0.9821415529252804,127.0.0.1:1151 -> 127.0.0.1:8088
187,cZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5919298158356655,0.9352224274861364,0.9865758622846912,127.0.0.1:1151 -> 127.0.0.1:8088
189,dZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.616145597874329,0.4601543215522323,0.9847073383028304,127.0.0.1:1151 -> 127.0.0.1:8088
191,eZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5971270197806311,0.4711538575303667,0.9818767143629624,127.0.0.1:1151 -> 127.0.0.1:8088
193,fZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6046285419713505,0.4614016569087382,0.9825031126250932,127.0.0.1:1151 -> 127.0.0.1:8088
195,gZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5805948571076539,0.4600421685020876,0.9818139475763088,127.0.0.1:1151 -> 127.0.0.1:8088
197,hZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5883564456267845,0.9507487711544944,0.9876187786922168,127.0.0.1:1151 -> 127.0.0.1:8088
199,iZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5752771251828103,0.917516305345384,0.9793111262774452,127.0.0.1:1151 -> 127.0.0.1:8088
201,jZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5855919688877381,0.458754010187469,0.9767468626747952,127.0.0.1:1151 -> 127.0.0.1:8088
203,kZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6060562671948311,0.12049533264677,0.9739849495758766,127.0.0.1:1151 -> 127.0.0.1:8088
205,lZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5999331955587491,0.4592925120814956,0.9833843508119668,127.0.0.1:1151 -> 127.0.0.1:8088
207,mZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5913204348778938,0.4599458191985461,0.9830067524544384,127.0.0.1:1151 -> 127.0.0.1:8088
209,nZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6053598961814219,0.9506567700527884,0.9843931266339014,127.0.0.1:1151 -> 127.0.0.1:8088
211,oZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6158254076232507,0.9175185984613216,0.9801803461328004,127.0.0.1:1151 -> 127.0.0.1:8088
213,pZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5911204924721498,0.937280401734535,0.9856584147935572,127.0.0.1:1151 -> 127.0.0.1:8088
215,qZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5882470470352742,0.4535364297845927,0.9772047743584492,127.0.0.1:1151 -> 127.0.0.1:8088
217,5Zi1GHwBASTB4nx96gGh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5945140705658477,0.0146497344453326,0.9532670348683988,127.0.0.1:1151 -> 127.0.0.1:8088
219,6Zi1GHwBASTB4nx96gGh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5982345547530332,0.4587844919046164,0.9830157418492986,127.0.0.1:1151 -> 127.0.0.1:8088
221,7Zi1GHwBASTB4nx96gGh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6308213062685992,0.4594441184808605,0.9837961856064756,127.0.0.1:1151 -> 127.0.0.1:8088
223,8Zi1GHwBASTB4nx96gGh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6070055588005611,0.4584291145748376,0.9782347161137926,127.0.0.1:1151 -> 127.0.0.1:8088
225,9Zi1GHwBASTB4nx96gGh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6079619961423812,0.113258130385963,0.9741981271006926,127.0.0.1:1151 -> 127.0.0.1:8088
227,-Zi1GHwBASTB4nx96gGh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6025537204033039,0.1163766165754242,0.965209636651406,127.0.0.1:1151 -> 127.0.0.1:8088
229,_Zi1GHwBASTB4nx96gGh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6148689702814304,0.4528236779725045,0.9808506534298148,127.0.0.1:1151 -> 127.0.0.1:8088
231,AZi1GHwBASTB4nx96gKh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5606506914573833,0.950716181383878,0.9881233601986468,127.0.0.1:1151 -> 127.0.0.1:8088
